AssignmentID,EmployeeID,ProjectID,AllocationPercent,AssignmentStart,AssignmentEnd,Status
1,EMP0053473,PRJ00152,100,2025-03-27,,Assigned
2,EMP0035666,PRJ00698,60,2025-06-20,,Assigned
3,EMP0035666,PRJ00716,40,2026-06-23,,Assigned
4,EMP0079563,PRJ00716,100,2026-06-23,,Assigned
5,EMP0049040,PRJ00152,100,2025-03-27,,Assigned
6,EMP0001262,PRJ00157,100,2025-05-04,,Assigned
7,EMP0037073,PRJ00698,100,2025-06-20,,Assigned
8,EMP0020872,PRJ00836,70,2025-08-01,,Assigned
9,EMP0020872,PRJ00716,30,2026-06-23,,Assigned
10,EMP0077110,PRJ00152,60,2025-03-27,,Assigned
11,EMP0077110,PRJ00716,40,2026-06-23,,Assigned
12,EMP0079313,PRJ00177,100,2025-12-03,,Assigned
13,EMP0053290,PRJ00854,100,2026-01-27,,Assigned
14,EMP0074151,PRJ00177,100,2025-12-03,,Assigned
15,EMP0045873,PRJ00698,100,2025-06-20,,Assigned
16,EMP0060675,PRJ00152,100,2025-03-27,,Assigned
17,EMP0078640,PRJ00854,100,2026-01-27,,Assigned
18,EMP0002926,PRJ00664,100,2026-05-01,,Assigned
19,EMP0098600,PRJ00177,50,2025-12-03,,Assigned
20,EMP0098600,PRJ00698,50,2025-06-20,,Assigned
21,EMP0063170,PRJ00710,100,2026-05-15,,Assigned
22,EMP0034204,PRJ00157,50,2025-05-04,,Assigned
23,EMP0034204,PRJ00644,50,2025-08-08,,Assigned
24,EMP0085993,PRJ00664,100,2026-05-01,,Assigned
25,EMP0041220,PRJ00836,40,2025-08-01,,Assigned
26,EMP0041220,PRJ00177,30,2025-12-03,,Assigned
27,EMP0041220,PRJ00009,30,2025-05-18,,Assigned
28,EMP0035366,PRJ00664,70,2026-05-01,,Assigned
29,EMP0035366,PRJ00177,30,2025-12-03,,Assigned
30,EMP0088382,PRJ00664,100,2026-05-01,,Assigned
31,EMP0081536,PRJ00644,100,2025-08-08,,Assigned
32,EMP0091596,PRJ00716,100,2026-06-23,,Assigned
33,EMP0011860,PRJ00177,100,2025-12-03,,Assigned
34,EMP0038431,PRJ00152,60,2025-03-27,,Assigned
35,EMP0038431,PRJ00854,40,2026-01-27,,Assigned
36,EMP0051344,PRJ00836,100,2025-08-01,,Assigned
37,EMP0041400,PRJ00157,100,2025-05-04,,Assigned
38,EMP0016975,PRJ00854,50,2026-01-27,,Assigned
39,EMP0016975,PRJ00716,30,2026-06-23,,Assigned
40,EMP0016975,PRJ00698,20,2025-06-20,,Assigned
41,EMP0030649,PRJ00716,70,2026-06-23,,Assigned
42,EMP0030649,PRJ00157,30,2025-05-04,,Assigned
43,EMP0007951,PRJ00152,100,2025-03-27,,Assigned
44,EMP0063842,PRJ00157,100,2025-05-04,,Assigned
45,EMP0003432,PRJ00716,100,2026-06-23,,Assigned
46,EMP0044485,PRJ00152,100,2025-03-27,,Assigned
47,EMP0021811,PRJ00854,100,2026-01-27,,Assigned
48,EMP0023351,PRJ00177,100,2025-12-03,,Assigned
49,EMP0032646,PRJ00710,50,2026-05-15,,Assigned
50,EMP0032646,PRJ00854,30,2026-01-27,,Assigned
51,EMP0032646,PRJ00177,20,2025-12-03,,Assigned
52,EMP0001505,PRJ00854,100,2026-01-27,,Assigned
53,EMP0044233,PRJ00177,50,2025-12-03,,Assigned
54,EMP0044233,PRJ00698,50,2025-06-20,,Assigned
55,EMP0062419,PRJ00157,100,2025-05-04,,Assigned
56,EMP0045025,PRJ00854,50,2026-01-27,,Assigned
57,EMP0045025,PRJ00177,50,2025-12-03,,Assigned
58,EMP0044289,PRJ00710,70,2026-05-15,,Assigned
59,EMP0044289,PRJ00698,30,2025-06-20,,Assigned
60,EMP0001614,PRJ00710,100,2026-05-15,,Assigned
61,EMP0075777,PRJ00644,100,2025-08-08,,Assigned
62,EMP0057261,PRJ00698,60,2025-06-20,,Assigned
63,EMP0057261,PRJ00009,40,2025-05-18,,Assigned
64,EMP0083118,PRJ00152,100,2025-03-27,,Assigned
65,EMP0015776,PRJ00698,40,2025-06-20,,Assigned
66,EMP0015776,PRJ00009,30,2025-05-18,,Assigned
67,EMP0015776,PRJ00152,30,2025-03-27,,Assigned
68,EMP0024455,PRJ00716,100,2026-06-23,,Assigned
69,EMP0055731,PRJ00716,100,2026-06-23,,Assigned
70,EMP0037036,PRJ00854,100,2026-01-27,,Assigned
71,EMP0089690,PRJ00836,100,2025-08-01,,Assigned
72,EMP0060466,PRJ00716,100,2026-06-23,,Assigned
73,EMP0093714,PRJ00710,40,2026-05-15,,Assigned
74,EMP0093714,PRJ00152,30,2025-03-27,,Assigned
75,EMP0093714,PRJ00157,30,2025-05-04,,Assigned
76,EMP0077547,PRJ00710,100,2026-05-15,,Assigned
77,EMP0087720,PRJ00152,40,2025-03-27,,Assigned
78,EMP0087720,PRJ00009,30,2025-05-18,,Assigned
79,EMP0087720,PRJ00836,30,2025-08-01,,Assigned
80,EMP0037739,PRJ00716,50,2026-06-23,,Assigned
81,EMP0037739,PRJ00152,50,2025-03-27,,Assigned
82,EMP0033558,PRJ00698,100,2025-06-20,,Assigned
83,EMP0061719,PRJ00716,100,2026-06-23,,Assigned
84,EMP0062189,PRJ00698,100,2025-06-20,,Assigned
85,EMP0037510,PRJ00698,100,2025-06-20,,Assigned
86,EMP0020404,PRJ00664,100,2026-05-01,,Assigned
87,EMP0048383,PRJ00157,100,2025-05-04,,Assigned
88,EMP0058372,PRJ00698,100,2025-06-20,,Assigned
89,EMP0021313,PRJ00854,100,2026-01-27,,Assigned
90,EMP0069799,PRJ00177,100,2025-12-03,,Assigned
91,EMP0093965,PRJ00710,100,2026-05-15,,Assigned
92,EMP0095816,PRJ00664,100,2026-05-01,,Assigned
93,EMP0037242,PRJ00854,100,2026-01-27,,Assigned
94,EMP0004096,PRJ00664,100,2026-05-01,,Assigned
95,EMP0041616,PRJ00157,100,2025-05-04,,Assigned
96,EMP0002074,PRJ00664,100,2026-05-01,,Assigned
97,EMP0004843,PRJ00177,50,2025-12-03,,Assigned
98,EMP0004843,PRJ00854,30,2026-01-27,,Assigned
99,EMP0004843,PRJ00644,20,2025-08-08,,Assigned
100,EMP0096470,PRJ00152,100,2025-03-27,,Assigned
101,EMP0025144,PRJ00177,50,2025-12-03,,Assigned
102,EMP0025144,PRJ00009,50,2025-05-18,,Assigned
103,EMP0070609,PRJ00157,100,2025-05-04,,Assigned
104,EMP0081805,PRJ00644,100,2025-08-08,,Assigned
105,EMP0020874,PRJ00836,100,2025-08-01,,Assigned
106,EMP0053053,PRJ00854,100,2026-01-27,,Assigned
107,EMP0023325,PRJ00157,100,2025-05-04,,Assigned
108,EMP0025750,PRJ00836,100,2025-08-01,,Assigned
109,EMP0095884,PRJ00854,100,2026-01-27,,Assigned
110,EMP0052408,PRJ00664,100,2026-05-01,,Assigned
111,EMP0075296,PRJ00854,70,2026-01-27,,Assigned
112,EMP0075296,PRJ00836,30,2025-08-01,,Assigned
113,EMP0061643,PRJ00710,100,2026-05-15,,Assigned
114,EMP0044064,PRJ00710,100,2026-05-15,,Assigned
115,EMP0042002,PRJ00854,100,2026-01-27,,Assigned
116,EMP0020184,PRJ00698,100,2025-06-20,,Assigned
117,EMP0005392,PRJ00152,100,2025-03-27,,Assigned
118,EMP0001414,PRJ00854,100,2026-01-27,,Assigned
119,EMP0064087,PRJ00664,50,2026-05-01,,Assigned
120,EMP0064087,PRJ00710,30,2026-05-15,,Assigned
121,EMP0064087,PRJ00698,20,2025-06-20,,Assigned
122,EMP0016779,PRJ00698,100,2025-06-20,,Assigned
123,EMP0050622,PRJ00664,60,2026-05-01,,Assigned
124,EMP0050622,PRJ00995,40,2025-08-17,,Assigned
125,EMP0090521,PRJ00698,100,2025-06-20,,Assigned
126,EMP0065309,PRJ00710,100,2026-05-15,,Assigned
127,EMP0078683,PRJ00152,50,2025-03-27,,Assigned
128,EMP0078683,PRJ00664,30,2026-05-01,,Assigned
129,EMP0078683,PRJ00836,20,2025-08-01,,Assigned
130,EMP0055907,PRJ00836,100,2025-08-01,,Assigned
131,EMP0031418,PRJ00716,100,2026-06-23,,Assigned
132,EMP0095483,PRJ00710,50,2026-05-15,,Assigned
133,EMP0095483,PRJ00152,25,2025-03-27,,Assigned
134,EMP0095483,PRJ00664,25,2026-05-01,,Assigned
135,EMP0046772,PRJ00716,100,2026-06-23,,Assigned
136,EMP0025648,PRJ00157,100,2025-05-04,,Assigned
137,EMP0053373,PRJ00716,40,2026-06-23,,Assigned
138,EMP0053373,PRJ00710,30,2026-05-15,,Assigned
139,EMP0053373,PRJ00177,30,2025-12-03,,Assigned
140,EMP0092611,PRJ00716,70,2026-06-23,,Assigned
141,EMP0092611,PRJ00698,30,2025-06-20,,Assigned
142,EMP0056778,PRJ00710,70,2026-05-15,,Assigned
143,EMP0056778,PRJ00836,30,2025-08-01,,Assigned
144,EMP0000934,PRJ00644,40,2025-08-08,,Assigned
145,EMP0000934,PRJ00157,30,2025-05-04,,Assigned
146,EMP0000934,PRJ00152,30,2025-03-27,,Assigned
147,EMP0096917,PRJ00664,100,2026-05-01,,Assigned
148,EMP0084452,PRJ00644,100,2025-08-08,,Assigned
149,EMP0047747,PRJ00698,100,2025-06-20,,Assigned
150,EMP0072103,PRJ00644,100,2025-08-08,,Assigned
