ReviewID,EmployeeID,ReviewDate,PerformanceScore,PerformanceRating
REV00000001,EMP0000001,2023-12-31,4.4,4
REV00000002,EMP0000001,2024-12-31,4.8,4
REV00000003,EMP0000001,2025-12-31,5.0,4
REV00000004,EMP0000002,2023-12-31,4.2,4
REV00000005,EMP0000002,2024-12-31,4.7,4
REV00000006,EMP0000002,2025-12-31,4.2,4
REV00000007,EMP0000003,2023-12-31,5.0,4
REV00000008,EMP0000003,2024-12-31,4.5,4
REV00000009,EMP0000003,2025-12-31,4.6,4
REV00000010,EMP0000004,2023-12-31,3.8,3
REV00000011,EMP0000004,2024-12-31,3.5,3
REV00000012,EMP0000004,2025-12-31,3.8,3
REV00000013,EMP0000005,2023-12-31,3.9,3
REV00000014,EMP0000005,2024-12-31,3.4,3
REV00000015,EMP0000005,2025-12-31,3.8,3
REV00000016,EMP0000006,2023-12-31,3.4,3
REV00000017,EMP0000006,2024-12-31,3.7,3
REV00000018,EMP0000006,2025-12-31,3.9,3
REV00000019,EMP0000007,2023-12-31,4.4,4
REV00000020,EMP0000007,2024-12-31,3.9,3
REV00000021,EMP0000007,2025-12-31,3.6,3
REV00000022,EMP0000008,2024-12-31,4.4,4
REV00000023,EMP0000008,2025-12-31,4.8,4
REV00000024,EMP0000009,2023-12-31,4.4,4
REV00000025,EMP0000009,2024-12-31,4.3,4
REV00000026,EMP0000009,2025-12-31,3.9,3
REV00000027,EMP0000010,2024-12-31,4.5,4
REV00000028,EMP0000010,2025-12-31,4.1,4
REV00000029,EMP0000011,2023-12-31,3.6,3
REV00000030,EMP0000011,2024-12-31,3.7,3
REV00000031,EMP0000011,2025-12-31,3.3,3
REV00000032,EMP0000012,2025-12-31,4.0,4
REV00000033,EMP0000013,2025-12-31,4.1,4
REV00000034,EMP0000014,2023-12-31,5.0,4
REV00000035,EMP0000014,2024-12-31,4.9,4
REV00000036,EMP0000014,2025-12-31,5.0,4
REV00000037,EMP0000015,2023-12-31,3.4,3
REV00000038,EMP0000015,2024-12-31,3.0,3
REV00000039,EMP0000015,2025-12-31,3.3,3
REV00000040,EMP0000016,2023-12-31,4.1,4
REV00000041,EMP0000016,2024-12-31,4.6,4
REV00000042,EMP0000016,2025-12-31,4.9,4
REV00000043,EMP0000017,2023-12-31,4.9,4
REV00000044,EMP0000017,2024-12-31,4.5,4
REV00000045,EMP0000017,2025-12-31,4.7,4
REV00000046,EMP0000018,2023-12-31,4.4,4
REV00000047,EMP0000018,2024-12-31,4.1,4
REV00000048,EMP0000018,2025-12-31,3.8,3
REV00000049,EMP0000019,2023-12-31,4.4,4
REV00000050,EMP0000019,2024-12-31,4.2,4
REV00000051,EMP0000019,2025-12-31,4.3,4
REV00000052,EMP0000020,2023-12-31,3.5,3
REV00000053,EMP0000020,2024-12-31,3.6,3
REV00000054,EMP0000020,2025-12-31,3.2,3
REV00000055,EMP0000021,2025-12-31,3.4,3
REV00000056,EMP0000022,2025-12-31,3.8,3
REV00000057,EMP0000023,2024-12-31,3.7,3
REV00000058,EMP0000023,2025-12-31,4.1,4
REV00000059,EMP0000024,2023-12-31,4.3,4
REV00000060,EMP0000024,2024-12-31,4.1,4
REV00000061,EMP0000024,2025-12-31,4.2,4
REV00000062,EMP0000025,2023-12-31,4.0,4
REV00000063,EMP0000025,2024-12-31,4.3,4
REV00000064,EMP0000025,2025-12-31,4.2,4
REV00000065,EMP0000026,2023-12-31,3.6,3
REV00000066,EMP0000026,2024-12-31,3.6,3
REV00000067,EMP0000026,2025-12-31,3.2,3
REV00000068,EMP0000027,2025-12-31,3.7,3
REV00000069,EMP0000028,2023-12-31,3.9,3
REV00000070,EMP0000028,2024-12-31,3.4,3
REV00000071,EMP0000028,2025-12-31,3.8,3
REV00000072,EMP0000029,2024-12-31,3.6,3
REV00000073,EMP0000029,2025-12-31,3.5,3
REV00000074,EMP0000030,2023-12-31,4.5,4
REV00000075,EMP0000030,2024-12-31,4.5,4
REV00000076,EMP0000030,2025-12-31,4.1,4
REV00000077,EMP0000031,2023-12-31,3.4,3
REV00000078,EMP0000031,2024-12-31,3.0,3
REV00000079,EMP0000031,2025-12-31,2.9,2
REV00000080,EMP0000032,2023-12-31,5.0,4
REV00000081,EMP0000032,2024-12-31,4.6,4
REV00000082,EMP0000032,2025-12-31,5.0,4
REV00000083,EMP0000033,2023-12-31,3.9,3
REV00000084,EMP0000033,2024-12-31,4.2,4
