ProjectID,ProjectName,Client,Priority,Budget,StartDate,EndDate,Status,RequiredHeadcount
PRJ00001,Cloud Transformation 1,Oracle,High,6677968,2026-08-02,2027-03-02,Active,573
PRJ00002,Healthcare Transformation 2,Deloitte,High,749957,2025-02-12,2025-11-08,Completed,106
PRJ00003,Healthcare Transformation 3,Amazon,Low,2167971,2024-05-20,2026-04-17,Completed,46
PRJ00004,Retail Transformation 4,Oracle,Medium,5443118,2025-08-20,2027-07-19,Active,245
PRJ00005,Banking Transformation 5,Deloitte,Medium,2830953,2025-09-02,2026-08-11,Completed,134
PRJ00006,AI Transformation 6,Deloitte,High,3511337,2025-05-15,2026-02-23,Completed,123
PRJ00007,Analytics Transformation 7,Amazon,Low,4353935,2025-10-09,2027-02-25,Active,49
PRJ00008,AI Transformation 8,TCS,Medium,7457550,2025-04-03,2027-04-24,Active,110
PRJ00009,Healthcare Transformation 9,Oracle,Low,1083470,2025-05-18,2027-04-16,Active,648
PRJ00010,AI Transformation 10,Oracle,High,3688729,2024-12-30,2026-04-20,Completed,53
PRJ00011,Cloud Transformation 11,Accenture,Medium,2257472,2024-03-19,2025-09-23,Completed,131
PRJ00012,AI Transformation 12,IBM,Low,1935615,2025-08-20,2027-09-09,Active,237
PRJ00013,Retail Transformation 13,Deloitte,Medium,5868707,2026-04-11,2027-01-04,Active,267
PRJ00014,Analytics Transformation 14,Amazon,High,7393779,2026-04-24,2027-03-28,Active,371
PRJ00015,ERP Transformation 15,Microsoft,High,5257851,2024-07-24,2026-03-06,Completed,65
PRJ00016,Banking Transformation 16,Infosys,Medium,7921260,2026-03-06,2027-01-29,On Hold,35
PRJ00017,ERP Transformation 17,Google,High,6749420,2025-12-23,2026-12-25,On Hold,180
PRJ00018,Retail Transformation 18,IBM,Medium,3536646,2026-04-02,2027-08-08,Active,107
PRJ00019,Retail Transformation 19,Microsoft,High,7723454,2024-07-04,2026-06-05,Completed,90
PRJ00020,Analytics Transformation 20,Deloitte,Low,1032909,2024-10-19,2025-09-27,Completed,58
PRJ00021,Healthcare Transformation 21,HSBC,Low,7720743,2023-12-24,2025-10-13,Completed,176
PRJ00022,Banking Transformation 22,TCS,Medium,6947473,2025-08-31,2026-12-10,On Hold,183
PRJ00023,Retail Transformation 23,Google,Medium,527223,2026-06-18,2027-03-12,Active,274
PRJ00024,Healthcare Transformation 24,Google,Low,1392638,2025-05-23,2027-02-24,On Hold,317
PRJ00025,Healthcare Transformation 25,IBM,High,1782108,2026-03-15,2027-09-05,On Hold,93
PRJ00026,Healthcare Transformation 26,Accenture,Medium,663382,2025-11-25,2026-05-24,Completed,158
